datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,200363,02W,ATOS SE,EUR,134.6007,101332527,251811.0,,64.87,63.81,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-02,200363,02W,ATOS SE,EUR,134.6007,101332527,208471.0,65.05276985578891,64.6,64.06,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-03,200363,02W,ATOS SE,EUR,134.6007,101332527,,65.04433075225299,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-06,200363,02W,ATOS SE,EUR,134.6007,101332527,,65.035892743497,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-07,200363,02W,ATOS SE,EUR,134.6007,101332527,352692.0,64.68114345360003,65.5,64.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-08,200363,02W,ATOS SE,EUR,134.6007,101332527,348711.0,64.33708258625644,65.39,64.55,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-09,200363,02W,ATOS SE,EUR,134.6007,101332527,455712.0,65.36659690832313,66.98,64.9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-10,200363,02W,ATOS SE,EUR,134.6007,101332527,300097.0,65.27499046009963,67.39,66.81,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-13,200363,02W,ATOS SE,EUR,134.6007,101332527,650404.0,66.43675230847644,68.83,67.62,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-14,200363,02W,ATOS SE,EUR,134.6007,101332527,568069.0,66.19365457583672,68.79,67.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-15,200363,02W,ATOS SE,EUR,134.6007,101332527,673026.0,67.0250573567074,69.77,68.26,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-16,200363,02W,ATOS SE,EUR,134.6007,101332527,518906.0,66.39659581991776,69.65,68.19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-17,200363,02W,ATOS SE,EUR,134.6007,101332527,635090.0,66.40249545223035,68.64,66.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-20,200363,02W,ATOS SE,EUR,134.6007,101332527,474320.0,65.8573935258295,68.06,66.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-21,200363,02W,ATOS SE,EUR,134.6007,101332527,799738.0,65.54672010999913,68.05,66.86,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-22,200363,02W,ATOS SE,EUR,134.6007,101332527,849131.0,66.21159183910355,68.04,66.68,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-23,200363,02W,ATOS SE,EUR,134.6007,101332527,1075605.0,68.41901453833923,70.0,66.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-24,200363,02W,ATOS SE,EUR,134.6007,101332527,956750.0,69.7405736948986,71.87,69.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-27,200363,02W,ATOS SE,EUR,134.6007,101332527,743788.0,69.90287419692804,72.28,70.23,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-28,200363,02W,ATOS SE,EUR,134.6007,101332527,412528.0,69.72543920749496,72.18,70.64,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-29,200363,02W,ATOS SE,EUR,134.6007,101332527,491270.0,70.05059771865315,71.37,69.82,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-04-30,200363,02W,ATOS SE,EUR,134.6007,101525245,782547.0,70.2631022583549,70.39,68.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,1
2015-05-01,200363,02W,ATOS SE,EUR,134.6007,101525245,,70.38226270534496,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-04,200363,02W,ATOS SE,EUR,134.6007,101525245,453204.0,72.11335582764961,72.29,70.14,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-05,200363,02W,ATOS SE,EUR,134.6007,101525245,563859.0,70.8169484041543,72.17,69.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-06,200363,02W,ATOS SE,EUR,134.6007,101525245,469662.0,70.63240904361457,70.1,68.87,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-07,200363,02W,ATOS SE,EUR,134.6007,101525245,629036.0,71.36171321212254,69.71,67.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-08,200363,02W,ATOS SE,EUR,134.6007,101525245,363907.0,70.52255319624435,70.84,69.82,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-11,200363,02W,ATOS SE,EUR,134.6007,101525245,459051.0,71.15294219618359,71.59,70.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-12,200363,02W,ATOS SE,EUR,134.6007,101525245,516489.0,70.9008156518477,71.25,69.68,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-13,200363,02W,ATOS SE,EUR,134.6007,101525245,324913.0,71.59274726525098,71.31,70.51,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-14,200363,02W,ATOS SE,EUR,134.6007,101525245,212679.0,71.69760721501072,71.5,70.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-15,200363,02W,ATOS SE,EUR,134.6007,101525245,294686.0,71.93920253280976,71.91,70.7,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-18,200363,02W,ATOS SE,EUR,134.6007,101525245,260839.0,72.26829442251075,71.79,70.59,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-19,200363,02W,ATOS SE,EUR,134.6007,101525245,484022.0,71.81241305221371,72.48,71.84,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-20,200363,02W,ATOS SE,EUR,134.6007,101525245,211491.0,71.81496341531161,72.81,72.08,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-21,200363,02W,ATOS SE,EUR,134.6007,101525245,382665.0,71.90563127472052,73.44,72.68,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-22,200363,02W,ATOS SE,EUR,134.6007,101525245,490613.0,70.25588824003026,73.62,71.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-25,200363,02W,ATOS SE,EUR,134.6007,101525245,80099.0,70.34837210554346,71.67,70.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-26,200363,02W,ATOS SE,EUR,134.6007,101525245,388599.0,70.0143671214738,71.66,70.38,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-27,200363,02W,ATOS SE,EUR,134.6007,101525245,348461.0,70.26620954098402,71.7,70.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-28,200363,02W,ATOS SE,EUR,134.6007,101525245,331046.0,70.62011493557851,72.34,71.27,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-05-29,200363,02W,ATOS SE,EUR,134.6007,101525245,658732.0,70.1466291422368,71.85,70.03,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,1
2015-06-01,200363,02W,ATOS SE,EUR,134.6007,101525245,325462.0,70.18333708043353,70.52,69.43,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-06-02,200363,02W,ATOS SE,EUR,134.6007,101525245,497058.0,71.42108795834659,70.74,69.24,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-06-03,200363,02W,ATOS SE,EUR,134.6007,101525245,460331.0,72.23617361049446,71.34,70.06,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
2015-06-04,200363,02W,ATOS SE,EUR,134.6007,102094935,508269.0,71.24882999007879,70.53,68.62,10,1,EUR,,,0.8,0.8,0.8,,,0.8,,,,,,,,,2015-04-22,,2015-06-26,,,2015-06-26,2015-06-03,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-05,200363,02W,ATOS SE,EUR,134.6007,102094935,350528.0,70.62118695126291,69.47,68.34,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-08,200363,02W,ATOS SE,EUR,134.6007,102094935,434036.0,70.72686635623144,69.05,67.85,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-09,200363,02W,ATOS SE,EUR,134.6007,102094935,419485.0,70.3470062378231,68.09,67.08,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-10,200363,02W,ATOS SE,EUR,134.6007,102094935,457796.0,69.93468145382951,68.46,66.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-11,200363,02W,ATOS SE,EUR,134.6007,102094935,334066.0,70.03169223944589,69.53,68.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-12,200363,02W,ATOS SE,EUR,134.6007,102094935,320510.0,70.20163028423563,69.14,67.76,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-15,200363,02W,ATOS SE,EUR,134.6007,102094935,255097.0,70.2825035491604,67.92,67.1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-16,200363,02W,ATOS SE,EUR,134.6007,102094935,514453.0,70.00368635791018,67.81,66.25,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-17,200363,02W,ATOS SE,EUR,134.6007,102094935,525879.0,70.80373284762183,68.93,67.61,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-18,200363,02W,ATOS SE,EUR,134.6007,102094935,1123268.0,69.25062158509097,67.4,65.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-19,200363,02W,ATOS SE,EUR,134.6007,102094935,727685.0,68.95814853972689,68.0,66.48,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-22,200363,02W,ATOS SE,EUR,134.6007,102094935,1034184.0,68.55657802928226,67.9,66.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-23,200363,02W,ATOS SE,EUR,134.6007,102094935,683069.0,70.29077193516115,70.65,68.53,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-24,200363,02W,ATOS SE,EUR,134.6007,102094935,536586.0,70.33890812428143,70.6,69.57,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-25,200363,02W,ATOS SE,EUR,134.6007,102094935,630225.0,69.89093614315095,69.68,68.27,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-26,200363,02W,ATOS SE,EUR,134.6007,102882167,479989.0,70.82323772669788,70.75,69.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-29,200363,02W,ATOS SE,EUR,134.6007,102882167,596754.0,70.43948262342002,69.12,66.6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-06-30,200363,02W,ATOS SE,EUR,134.6007,102882167,563270.0,70.01389437576786,68.5,66.98,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,1
2015-07-01,200363,02W,ATOS SE,EUR,134.6007,102882167,450514.0,71.00155318195729,69.39,67.5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-02,200363,02W,ATOS SE,EUR,134.6007,102882167,264686.0,70.12095219882764,69.63,67.94,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-03,200363,02W,ATOS SE,EUR,134.6007,102882167,278632.0,70.579653743664,69.18,67.53,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-06,200363,02W,ATOS SE,EUR,134.6007,102882167,411172.0,71.11391632363055,68.53,67.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-07,200363,02W,ATOS SE,EUR,134.6007,102882167,365571.0,70.92466598594196,68.27,66.61,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-08,200363,02W,ATOS SE,EUR,134.6007,102882167,389651.0,71.17780135860772,67.52,65.95,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-09,200363,02W,ATOS SE,EUR,134.6007,102882167,437418.0,71.63589013965958,69.26,67.56,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-10,200363,02W,ATOS SE,EUR,134.6007,102882167,489400.0,72.61265500552454,71.3,70.16,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-13,200363,02W,ATOS SE,EUR,134.6007,102882167,339922.0,72.562216723658,72.8,71.62,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-14,200363,02W,ATOS SE,EUR,134.6007,102882167,374443.0,71.38897184348738,72.63,71.37,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-15,200363,02W,ATOS SE,EUR,134.6007,102882167,511067.0,71.34635260458708,72.05,70.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-16,200363,02W,ATOS SE,EUR,134.6007,102882167,490826.0,70.489714206242,72.7,71.7,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-17,200363,02W,ATOS SE,EUR,134.6007,102882167,517864.0,70.53777072859293,72.9,71.87,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-20,200363,02W,ATOS SE,EUR,134.6007,102882167,329375.0,71.21868926616573,73.33,72.13,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-21,200363,02W,ATOS SE,EUR,134.6007,102882167,359801.0,71.32412840170468,73.47,72.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-22,200363,02W,ATOS SE,EUR,134.6007,102882167,341984.0,71.18044914886734,71.89,71.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-23,200363,02W,ATOS SE,EUR,134.6007,102882167,308248.0,71.80119022191197,72.34,71.58,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-24,200363,02W,ATOS SE,EUR,134.6007,102882167,441922.0,71.83345400145659,72.32,70.86,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-27,200363,02W,ATOS SE,EUR,134.6007,102882167,388667.0,72.38986105536442,71.94,70.25,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-28,200363,02W,ATOS SE,EUR,134.6007,102882167,377395.0,71.84852675133733,71.0,70.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-29,200363,02W,ATOS SE,EUR,134.6007,102882167,969042.0,69.10090505152017,72.5,67.81,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-30,200363,02W,ATOS SE,EUR,134.6007,102882167,572619.0,68.95928690912856,69.61,67.88,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-07-31,200363,02W,ATOS SE,EUR,134.6007,102882167,359779.0,69.26168418330388,69.73,68.91,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,1
2015-08-03,200363,02W,ATOS SE,EUR,134.6007,102882167,304666.0,68.34669082739981,69.53,68.62,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-04,200363,02W,ATOS SE,EUR,134.6007,102882167,495164.0,69.73296884898319,70.45,68.51,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-05,200363,02W,ATOS SE,EUR,134.6007,102882167,438653.0,69.79074669833255,71.35,70.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-06,200363,02W,ATOS SE,EUR,134.6007,102882167,343034.0,70.0387878287241,71.99,70.66,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-07,200363,02W,ATOS SE,EUR,134.6007,102882167,290469.0,69.6440545152912,70.95,69.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-10,200363,02W,ATOS SE,EUR,134.6007,102882167,260831.0,69.52349161456527,70.45,69.67,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-11,200363,02W,ATOS SE,EUR,134.6007,102882167,285847.0,69.64326316434918,70.19,68.95,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-12,200363,02W,ATOS SE,EUR,134.6007,102882167,433324.0,70.28157272010628,68.97,67.6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-13,200363,02W,ATOS SE,EUR,134.6007,102882167,313803.0,71.06932861315266,69.56,68.79,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-14,200363,02W,ATOS SE,EUR,134.6007,102882167,191795.0,71.44274642892171,69.84,68.96,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-17,200363,02W,ATOS SE,EUR,134.6007,102882167,282113.0,71.11518565279493,70.39,68.5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-18,200363,02W,ATOS SE,EUR,134.6007,102882167,361643.0,71.94394678978101,70.66,69.07,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-19,200363,02W,ATOS SE,EUR,134.6007,102882167,543969.0,73.07311266596575,70.89,69.14,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-20,200363,02W,ATOS SE,EUR,134.6007,102882167,479079.0,73.03334618922878,70.31,68.36,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-21,200363,02W,ATOS SE,EUR,134.6007,102882167,542423.0,73.68294090419803,68.43,67.02,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-24,200363,02W,ATOS SE,EUR,134.6007,102882167,963445.0,75.07646732151018,65.62,61.41,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-25,200363,02W,ATOS SE,EUR,134.6007,102882167,702317.0,73.5509210023214,66.65,64.16,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-26,200363,02W,ATOS SE,EUR,134.6007,102882167,518433.0,74.0755608988845,66.09,64.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-27,200363,02W,ATOS SE,EUR,134.6007,102882167,656449.0,74.1567470172583,67.96,66.19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-28,200363,02W,ATOS SE,EUR,134.6007,102882167,471570.0,74.28674725070505,68.13,66.95,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-08-31,200363,02W,ATOS SE,EUR,134.6007,102882167,318811.0,74.19487116997013,68.25,67.21,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,1
2015-09-01,200363,02W,ATOS SE,EUR,134.6007,102882167,497348.0,75.18103731227913,67.62,66.33,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-02,200363,02W,ATOS SE,EUR,134.6007,102882167,551506.0,74.15327235600864,66.92,65.21,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-03,200363,02W,ATOS SE,EUR,134.6007,102882167,641863.0,73.36205646333673,67.37,66.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-04,200363,02W,ATOS SE,EUR,134.6007,102882167,374624.0,74.4719932645917,66.73,65.98,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-07,200363,02W,ATOS SE,EUR,134.6007,102882167,253905.0,73.94137002849551,66.68,65.6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-08,200363,02W,ATOS SE,EUR,134.6007,103119075,292493.0,74.14873153536608,67.4,66.16,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-09,200363,02W,ATOS SE,EUR,134.6007,103119075,240742.0,74.25463826066277,68.15,67.67,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-10,200363,02W,ATOS SE,EUR,134.6007,103119075,244895.0,75.23741270491618,68.05,67.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-11,200363,02W,ATOS SE,EUR,134.6007,103119075,317279.0,75.22728435124725,68.08,66.81,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-14,200363,02W,ATOS SE,EUR,134.6007,103119075,175484.0,75.45646359354299,68.06,66.64,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-15,200363,02W,ATOS SE,EUR,134.6007,103119075,350304.0,75.72475008386905,68.06,66.67,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-16,200363,02W,ATOS SE,EUR,134.6007,103119075,350558.0,76.14465029343351,69.49,68.14,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-17,200363,02W,ATOS SE,EUR,134.6007,103119075,368713.0,76.97622925811665,70.07,69.12,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-18,200363,02W,ATOS SE,EUR,134.6007,103119075,468660.0,77.78144319762966,69.85,68.53,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
2015-09-21,200363,02W,ATOS SE,EUR,134.6007,103119075,399542.0,77.31501045366328,69.91,68.64,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07144546,Y,286,5654781,0,FRA,FRA,0
